City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
414,Brae,GB,60.3964,-1.353,44.08,84,100,20.24,overcast clouds
415,Aykhal,RU,66.0,111.5,16.9,87,100,7.9,light snow
416,Standerton,ZA,-26.9337,29.2415,55.62,88,60,3.98,broken clouds
417,Surazh,RU,53.0175,32.3918,28.89,95,100,12.03,light snow
418,Beroroha,MG,-21.6667,45.1667,76.82,57,0,4.81,clear sky
419,Namatanai,PG,-3.6667,152.4333,83.86,71,77,10.6,broken clouds
420,Biak,ID,-0.9131,122.8766,82.67,73,98,2.77,overcast clouds
421,Shubarshi,KZ,48.5872,57.1869,50.31,65,100,12.03,overcast clouds
422,Aras,ES,42.5617,-2.356,34.21,93,100,8.05,overcast clouds
423,Bucerias,MX,20.75,-105.3333,65.35,90,11,4.76,few clouds
424,Morogoro,TZ,-6.8167,37.6667,71.78,100,75,0.0,broken clouds
425,Havoysund,NO,70.9963,24.6622,28.63,60,100,18.75,light snow
426,Mnogovershinnyy,RU,53.9353,139.9242,32.05,97,97,5.66,overcast clouds
427,Taltal,CL,-25.4,-70.4833,62.33,79,0,2.55,clear sky
428,Koslan,RU,63.4564,48.8989,20.8,86,100,8.48,overcast clouds
429,Kavaratti,IN,10.5669,72.642,82.49,71,5,2.82,clear sky
430,Eyl,SO,7.9803,49.8164,80.64,70,21,6.78,few clouds
431,Powell River,CA,49.8496,-124.5361,50.07,88,100,12.59,overcast clouds
432,Mweka,CD,-4.85,21.5667,65.05,99,92,1.39,overcast clouds
433,Requena,ES,39.4883,-1.1004,27.52,60,20,4.7,few clouds
434,Opuwo,NA,-18.0607,13.84,64.71,95,64,1.74,moderate rain
435,Port-Gentil,GA,-0.7193,8.7815,78.19,78,99,3.13,overcast clouds
436,Oda,JP,35.1833,132.5,56.17,53,0,16.78,clear sky
437,Kimbe,PG,-5.5502,150.1429,76.84,91,100,1.45,light rain
438,Sungaipenuh,ID,-2.0833,101.3833,83.68,37,11,5.97,few clouds
439,Butembo,CD,0.15,29.2833,62.74,79,100,2.21,overcast clouds
440,Zyryanka,RU,65.75,150.85,7.16,72,93,4.09,overcast clouds
441,Cidreira,BR,-30.1811,-50.2056,70.43,77,31,20.22,scattered clouds
442,Freeport,US,40.6576,-73.5832,44.38,75,0,5.99,clear sky
443,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.13,88,19,5.44,few clouds
444,Fuling,CN,29.7022,107.3919,70.5,51,83,2.75,broken clouds
445,Cozumel,MX,20.5083,-86.9458,75.99,87,66,5.01,broken clouds
446,Havelock,US,34.8791,-76.9013,56.95,83,20,3.44,few clouds
447,Tabou,CI,4.423,-7.3528,77.07,90,100,8.01,overcast clouds
448,Saurimo,AO,-9.6608,20.3916,63.81,98,99,1.48,light rain
449,Kirkwall,GB,58.9848,-2.9587,42.96,81,100,9.22,overcast clouds
450,Akhisar,TR,38.9185,27.8401,53.15,71,74,7.67,broken clouds
451,Oyon,PE,-10.6681,-76.7731,43.95,95,100,2.64,overcast clouds
452,Porto Belo,BR,-27.1578,-48.5531,69.26,84,97,8.37,overcast clouds
453,Tambura,SS,5.6,27.4667,71.69,83,100,4.43,light rain
454,Srednekolymsk,RU,67.45,153.6833,6.17,76,82,2.35,broken clouds
455,Palora,EC,-1.7,-77.9333,65.08,99,99,0.78,overcast clouds
456,Bongandanga,CD,1.5,21.05,70.93,91,100,5.12,overcast clouds
457,Kawalu,ID,-7.3817,108.2082,84.11,70,47,4.29,scattered clouds
458,Buala,SB,-8.145,159.5921,82.87,78,87,9.44,light rain
459,Viedma,AR,-40.8135,-62.9967,67.57,37,58,24.45,broken clouds
460,Roma,US,43.2128,-75.4557,34.88,78,100,1.99,overcast clouds
461,Carlsbad,US,33.1581,-117.3506,61.41,89,100,5.75,overcast clouds
462,Masuri,KR,35.8488,128.1492,58.55,22,0,3.74,clear sky
463,Iskateley,RU,67.6803,53.1512,12.22,93,98,6.53,overcast clouds
464,Ghogha,IN,21.6833,72.2833,85.33,51,6,3.42,clear sky
465,Pinar Del Rio,CU,22.4175,-83.6981,72.54,90,31,1.32,scattered clouds
466,Lethem,GY,3.3803,-59.7968,76.42,83,94,12.66,overcast clouds
467,Kumano,JP,34.3442,132.5894,58.37,46,0,4.68,clear sky
