City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
432,Mweka,CD,65.05,overcast clouds,-4.85,21.5667,Guest House Boshab
435,Port-Gentil,GA,78.19,overcast clouds,-0.7193,8.7815,Fengshui Residence
436,Oda,JP,56.17,clear sky,35.1833,132.5,Sky Hotel Oda
437,Kimbe,PG,76.84,light rain,-5.5502,150.1429,Kimbe Bay Hotel
438,Sungaipenuh,ID,83.68,few clouds,-2.0833,101.3833,Penginapan Citra Alam
439,Butembo,CD,62.74,overcast clouds,0.15,29.2833,Hotel Butembo
441,Cidreira,BR,70.43,scattered clouds,-30.1811,-50.2056,Hotel Castelo
443,Sao Joao Da Barra,BR,75.13,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
444,Fuling,CN,70.5,broken clouds,29.7022,107.3919,Yingbin Hostel
445,Cozumel,MX,75.99,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
446,Havelock,US,56.95,few clouds,34.8791,-76.9013,Sherwood Motel
447,Tabou,CI,77.07,overcast clouds,4.423,-7.3528,hotêl doufoulougou
448,Saurimo,AO,63.81,light rain,-9.6608,20.3916,Hotel Kawissa Saurimo
450,Akhisar,TR,53.15,broken clouds,38.9185,27.8401,Seybils Otel
452,Porto Belo,BR,69.26,overcast clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
453,Tambura,SS,71.69,light rain,5.6,27.4667,Rikito Lodge
455,Palora,EC,65.08,overcast clouds,-1.7,-77.9333,Rancho grande
457,Kawalu,ID,84.11,scattered clouds,-7.3817,108.2082,West Jontor
458,Buala,SB,82.87,light rain,-8.145,159.5921,Maringe Lagoon Lodge
459,Viedma,AR,67.57,broken clouds,-40.8135,-62.9967,Hotel Cristal
461,Carlsbad,US,61.41,overcast clouds,33.1581,-117.3506,Carlsbad Inn Beach Resort
462,Masuri,KR,58.55,clear sky,35.8488,128.1492,가야힐리언스 펜션
464,Ghogha,IN,85.33,clear sky,21.6833,72.2833,"GUEST HOUSE,GHOGHA"
465,Pinar Del Rio,CU,72.54,scattered clouds,22.4175,-83.6981,Hostal La Colina Dunay y Raul
466,Lethem,GY,76.42,overcast clouds,3.3803,-59.7968,Savannah Inn
467,Kumano,JP,58.37,clear sky,34.3442,132.5894,ホテル コラソン
468,Contai,IN,86.9,scattered clouds,21.7786,87.7536,PATHFINDER
469,Las Palmas,ES,56.19,clear sky,28.4204,-14.0131,Casillas De Morales 59.
471,Sao Raimundo Nonato,BR,75.76,broken clouds,-9.0153,-42.6994,Real Hotel
473,Quatre Cocos,MU,77.11,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
474,Marawi,PH,72.05,overcast clouds,7.9986,124.2928,Derogongan Residence
475,Nouadhibou,MR,60.78,clear sky,20.931,-17.0347,El Medina
476,Dunedin,NZ,62.8,broken clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
477,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
478,Sunbury,AU,62.83,broken clouds,-37.5833,144.7333,Sunbury Motor Inn
480,Necochea,AR,56.82,clear sky,-38.5473,-58.7368,dyd -mar Hotel
481,Nanma,CN,61.63,clear sky,36.1817,118.1583,GreenTree Inn Zibo Wuyuan County Lushan Road Express Hotel
482,Platanos,GR,56.08,broken clouds,37.6667,21.6167,Hotel Kronio
484,Makokou,GA,68.34,overcast clouds,0.5738,12.8642,Hôtel
486,Rawson,AR,60.58,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
487,Katherine,AU,95.32,broken clouds,-14.4667,132.2667,Pine Tree Motel
488,Gazanjyk,TM,78.66,clear sky,39.2446,55.5154,Railway motel
493,Maxixe,MZ,77.74,broken clouds,-23.8597,35.3472,Oceano
494,Bombay,IN,85.98,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
496,Dosso,NE,76.71,overcast clouds,13.049,3.1937,Hotel Toubal
497,Koumra,TD,79.34,overcast clouds,8.9126,17.5539,Yamtoide house koumra
499,Guilin,CN,73.51,clear sky,25.2819,110.2864,Grand 0773 Hotel
501,Plettenberg Bay,ZA,60.04,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
506,Seoul,KR,61.99,clear sky,37.5683,126.9778,롯데호텔 서울
507,Nishihara,JP,64.06,light rain,26.1842,127.7558,Minshuku Agaihama
509,Bastrop,US,55.69,clear sky,32.7562,-91.8724,Best Budget Inn
511,Jinxiang,CN,57.31,clear sky,27.4327,120.6062,Wolong Village
512,Swellendam,ZA,58.08,broken clouds,-34.0226,20.4417,De Kloof Luxury Estate boutique Hotel & SPA
513,Lompoc,US,58.01,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
514,Guaimaca,HN,65.93,clear sky,14.5333,-86.8167,HOTEL SIERRA
515,Takaungu,KE,79.29,light rain,-3.6837,39.8566,Takaungu House
516,Davila,PH,85.98,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
517,Santa Fe,AR,64.99,overcast clouds,-31.6333,-60.7,Conquistador Hotel
518,High Rock,BS,73.42,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
520,Castelo,BR,71.87,overcast clouds,-20.6036,-41.1847,Pousada Lua & Sol
521,Nhulunbuy,AU,88.41,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
522,Kushiro,JP,50.95,few clouds,42.975,144.3747,Toyoko Inn Kushiro Jujigai
523,San Buenaventura,MX,68.34,scattered clouds,27.0833,-101.5333,Hotel Gran Plaza
527,Port Macquarie,AU,75.18,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
528,Kaeo,NZ,73.33,overcast clouds,-35.1,173.7833,Bushido Lodge
529,Mayumba,GA,76.23,overcast clouds,-3.432,10.6554,LIKWALE LODGE
531,Great Bend,US,50.61,scattered clouds,38.3645,-98.7648,Best Western Angus Inn
533,Conde,BR,76.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
535,Lagoa,PT,58.6,scattered clouds,39.05,-27.9833,Casa Das Faias
537,Stawell,AU,65.28,overcast clouds,-37.05,142.7667,Motel Stawell
538,Tura,IN,80.46,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
539,Jalu,LY,69.82,broken clouds,29.0331,21.5482,صاحبة الفخامة
540,Rabak,SD,88.83,few clouds,13.1809,32.74,فندق ربك Rabak Hotel
541,Valparaiso,CL,56.48,few clouds,-33.0393,-71.6273,Hotel Ultramar
542,Maragogi,BR,77.14,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
544,Matara,LK,86.52,clear sky,5.9485,80.5353,Amaloh Boutique Resort
548,Neyshabur,IR,65.37,scattered clouds,36.2133,58.7958,Amiran Hotel
550,Inhambane,MZ,78.44,broken clouds,-23.865,35.3833,Oceano
552,Yatou,CN,56.66,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
553,Labuan,MY,88.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
