City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
83,Torbay,CA,2022-04-02 04:11:24,47.6666,-52.7314,35.28,95,100,8.01
84,Yulara,AU,2022-04-02 04:11:24,-25.2406,130.9889,77.9,22,100,8.25
85,Touros,BR,2022-04-02 04:11:25,-5.1989,-35.4608,77.85,87,98,10.2
86,Faanui,PF,2022-04-02 04:11:25,-16.4833,-151.75,82.38,67,100,1.23
87,Lata,PT,2022-04-02 04:11:26,40.1629,-8.3327,40.91,65,0,4.36
88,Marsaxlokk,MT,2022-04-02 04:11:26,35.8419,14.5431,57.07,76,20,3.44
89,Deputatskiy,RU,2022-04-02 04:11:27,69.3,139.9,-1.43,88,10,3.49
90,Lukang,TW,2022-04-02 04:12:27,24.0567,120.4352,65.44,84,100,27.2
91,Ban Tak,TH,2022-04-02 04:12:28,17.0432,99.0813,88.43,42,48,7.78
92,Gerash,IR,2022-04-02 04:12:28,27.6652,54.1371,76.37,14,0,2.08
93,Vaini,TO,2022-04-02 04:12:29,-21.2,-175.2,84.36,79,75,4.61
94,Cabo San Lucas,MX,2022-04-02 04:12:29,22.8909,-109.9124,71.62,76,0,11.5
95,Araouane,ML,2022-04-02 04:12:30,18.9048,-3.5265,80.51,12,100,8.39
96,Saint Anthony,US,2022-04-02 04:12:30,45.0205,-93.218,37.26,84,100,0.0
97,Ahipara,NZ,2022-04-02 04:12:30,-35.1667,173.1667,72.05,65,100,0.89
98,Kantemirovka,RU,2022-04-02 04:12:31,49.7089,39.8592,53.46,58,80,15.26
99,Barrow,US,2022-04-02 04:12:32,71.2906,-156.7887,-5.78,77,0,18.41
100,Mananjary,MG,2022-04-02 04:12:32,-21.2167,48.3333,70.38,87,14,5.7
101,Were Ilu,ET,2022-04-02 04:12:33,10.6,39.4333,52.0,55,39,5.75
102,Qaanaaq,GL,2022-04-02 04:12:33,77.484,-69.3632,14.65,93,100,2.17
